Source_Name,RA,DEC,GLON,GLAT,Signif_Avg,Flux1000,Unc_Flux1000,Energy_Flux1000,Unc_Energy_Flux1000,SpectrumType,PL_Index,Unc_PL_Index,Pivot_Energy,LP_Index,Unc_LP_Index,LP_Beta,Unc_LP_beta,Flags,CLASS,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Counterpart_Catalog,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,VLBI_Counterpart,Gaia_Counterpart,Gaia_G_Magnitude,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
4FGL J1418.7-3504,214.6792,-35.0721,322.45685,24.468801,6.74116,2.0621918e-10,4.0887883e-11,4.0461298e-12,6.159838e-13,PowerLaw,2.7092721,0.113397464,553.1718,2.4615016,0.22925958,0.40067926,0.21311179,0,fsrq,PKS 1415-349,0.979076,0.94673723,bzcat,214.745487137,-35.1618077583,1.9e-07,RFC J1418-3509,Gaia DR2: 6119763591421799424,18.6042,1.544,LSP,3388441600000.0,1.2441851e-12,10.744202,0.26518357,0.21653025,10.0
4FGL J1418.9+7731,214.7364,77.5318,117.02572,38.575043,19.53866,4.0363565e-10,3.914258e-11,4.016573e-12,5.097307e-13,LogParabola,1.7655371,0.060875848,3143.0989,1.492284,0.11662676,0.19518977,0.058424875,0,bll,1RXS J141901.8+773229,0.9997502,0.9629977,bzcat,214.751479542,77.5414841556,5.1e-07,RFC J1419+7732,Gaia DR2: 1714099560680356736,17.7894,0.27,HSP,1.7782795e+16,9.447524e-13,9.57632,0.16442636,0.16054367,93.8038
4FGL J1419.3+0444,214.8371,4.7428,349.93033,59.3378,8.552176,2.0500869e-10,3.9530705e-11,2.4482562e-12,4.5918206e-13,PowerLaw,1.8475219,0.13114664,4501.16,1.572365,0.34314278,0.20354447,0.1749558,0,bll,2MASS J14192748+0445138,0.9966308,0.0,bzcat,214.86453247070312,4.7538299560546875,0.0045,,,nan,0.143,ISP,724435960000000.0,8.4966946e-13,4.897267,0.0,10.0,28.8092
4FGL J1419.4-0838,214.86,-8.6417,336.80557,48.35684,47.09075,2.3874402e-09,9.8945595e-11,2.256045e-11,1.0440177e-12,LogParabola,2.2313566,0.026912725,717.87683,2.1148705,0.03873097,0.09073199,0.022173474,0,fsrq,NVSS J141922-083830,0.9995073,0.97033733,bzcat,214.843983646,-8.642261275,1.8e-07,RFC J1419-0838,Gaia DR2: 3639084974826700160,17.7529,0.903,LSP,12022644000000.0,1.3327816e-12,441.9797,0.76907146,0.20866475,19.6836
4FGL J1419.5+3821,214.8944,38.3657,69.84806,68.412506,18.365274,4.7918747e-10,4.3858465e-11,7.2517933e-12,5.264096e-13,PowerLaw,2.522438,0.06119274,739.9984,2.5140991,0.06591527,0.016888006,0.036717415,0,fsrq,B3 1417+385,0.9930663,0.9408953,cgrabs,214.944224,38.3634652861,6.8e-08,RFC J1419+3821,Gaia DR2: 1484629869055835520,19.7321,1.831,LSP,3162277700000.0,1.6913286e-12,28.487928,0.3435287,0.12073,72.229
4FGL J1419.8+5423,214.955,54.3937,98.29891,58.30302,43.928738,1.3277597e-09,5.9308884e-11,1.6763875e-11,5.8717034e-13,PowerLaw,2.3503282,0.030662097,839.5115,2.3323476,0.035974354,0.028153187,0.019428391,0,bll,OQ 530,0.99977165,0.9919536,cgrabs,214.944155858,54.3874408556,6.8e-08,RFC J1419+5423,Gaia DR2: 1608689041624449536,15.5154,0.153,LSP,47863010000000.0,2.2519047e-11,220.74702,0.53714794,0.1478928,113.941
4FGL J1420.3+0612,215.0892,6.2004,352.23233,60.258114,6.01846,1.8767399e-10,3.7354342e-11,2.4145005e-12,4.908021e-13,PowerLaw,2.3716953,0.15016574,1361.1707,2.4108088,0.12621167,-0.06074388,0.051987387,0,bll,SDSS J142013.69+061428.6,0.99188596,0.0,bzcat,215.05703735351562,6.241330146789551,0.0045,,,nan,-inf,ISP,582103200000000.0,3.7911417e-13,15.098284,0.36033502,0.32564148,110.278
4FGL J1420.9-7920,215.2366,-79.3494,307.1563,-17.219162,10.734894,4.3147305e-10,5.059972e-11,5.561273e-12,6.778853e-13,PowerLaw,2.3737144,0.08369758,1418.6416,2.3207812,0.12886946,0.1830762,0.08940827,0,bcu,PMN J1421-7920,0.99885786,0.0,rfc,215.349902333,-79.3406665417,9.7e-06,RFC J1421-7920,,nan,-inf,LSP,4897788400000.0,2.8945628e-13,12.315459,0.29126325,0.17089677,18.7482
4FGL J1421.1-4614,215.2851,-46.2445,318.69992,13.86277,8.623577,3.654388e-10,5.2341114e-11,5.310335e-12,7.473673e-13,PowerLaw,2.488625,0.10157257,1054.6787,2.3285332,0.15854463,0.1999233,0.104471005,0,bcu,SUMSS J142047-461431,0.96199596,0.0,rfc,215.197654883,-46.2415076639,1.8266602e-06,RFC J1420-4614,,nan,0.005515,,0.0,0.0,13.8406925,0.33592683,0.18634996,10.0
4FGL J1421.1-1120,215.2872,-11.3393,335.38416,45.80384,12.122003,4.480011e-10,5.179905e-11,5.690627e-12,5.9991e-13,PowerLaw,2.3573403,0.08177667,1102.9633,2.2964342,0.109081775,0.075486965,0.06185048,0,bcu,PMN J1420-1118,0.97470796,0.0,at20g,215.250628113,-11.3056674583,3.7e-07,RFC J1421-1118,Gaia DR2: 6303880803516864768,20.393,-inf,,0.0,0.0,23.398409,0.43699595,0.17183071,29.0958
